MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice,years_to_2024,AdjustedSalePrice,TotalSQFT,TotalBaths
30,RM,58.0,8154,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,2,5,1941,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,BLQ,480.0,Unf,0.0,0.0,480.0,GasA,TA,Y,SBrkr,540,0,0,540,0.0,0.0,1,0,1,1,TA,4,Typ,0,None,Detchd,1951.0,Unf,1.0,200.0,Fa,Fa,N,0,0,0,0,0,0,NoPool,NoFence,None,0,4,2010,ConLw,Normal,82000,14,116766.75517940553,1020.0,1.0
50,RM,50.0,9140,Pave,NoAlley,Reg,HLS,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,6,5,1921,1975,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,Mn,BLQ,308.0,Unf,0.0,321.0,629.0,GasA,Fa,Y,SBrkr,727,380,0,1107,0.0,0.0,1,0,2,1,TA,5,Typ,0,None,Detchd,1950.0,Unf,1.0,625.0,TA,TA,Y,0,56,0,0,200,0,NoPool,MnPrv,None,0,4,2010,COD,Normal,110000,14,156638.33011871474,1736.0,1.0
120,RM,44.0,3811,Pave,NoAlley,IR1,HLS,AllPub,Corner,Mod,Crawfor,Artery,Norm,TwnhsE,1Story,8,5,2004,2005,Hip,CompShg,CemntBd,CmentBd,Stone,186.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,1373.0,Unf,0.0,221.0,1594.0,GasA,Ex,Y,SBrkr,1646,0,0,1646,1.0,1.0,2,0,2,1,Gd,5,Typ,1,Gd,Attchd,2004.0,Fin,2.0,525.0,TA,TA,Y,128,53,0,0,155,0,NoPool,NoFence,None,0,5,2010,WD ,Normal,246000,14,350300.2655382166,3240.0,3.5
60,RL,85.0,11050,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,2Story,8,5,1998,1999,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,615.0,Unf,0.0,434.0,1049.0,GasA,Ex,Y,SBrkr,1036,880,0,1916,1.0,0.0,2,1,3,1,Gd,8,Typ,1,TA,Attchd,1998.0,Unf,3.0,741.0,TA,TA,Y,0,70,0,0,0,0,NoPool,NoFence,None,0,5,2010,WD ,Normal,254900,14,362973.7304296399,2965.0,3.5
80,RL,74.0,9620,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,SLvl,6,7,1977,1977,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,679.0,Unf,0.0,564.0,1243.0,GasA,TA,Y,SBrkr,1285,0,0,1285,0.0,1.0,2,0,3,1,Gd,6,Typ,1,Fa,Attchd,1977.0,Unf,2.0,473.0,TA,TA,Y,375,26,0,0,0,0,NoPool,GdPrv,Shed,80,5,2010,WD ,Normal,190000,14,270557.1156595982,2528.0,2.5
20,RL,129.0,9196,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,No,Unf,0.0,Unf,0.0,1560.0,1560.0,GasA,Ex,Y,SBrkr,1560,0,0,1560,0.0,0.0,2,0,3,1,Gd,7,Typ,0,None,Attchd,2003.0,Fin,2.0,573.0,TA,TA,Y,100,150,0,0,0,0,NoPool,NoFence,None,0,4,2010,WD ,Normal,201000,14,286220.9486714697,3120.0,2.0
80,RL,72.0,12328,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,SLvl,6,5,1976,1976,Gable,CompShg,HdBoard,HdBoard,BrkFace,335.0,TA,TA,CBlock,TA,TA,Av,GLQ,539.0,Unf,0.0,473.0,1012.0,GasA,TA,Y,SBrkr,1034,0,0,1034,1.0,0.0,1,0,3,1,TA,6,Typ,0,None,Attchd,1976.0,Unf,3.0,888.0,TA,TA,Y,0,0,0,0,0,0,NoPool,NoFence,None,0,5,2010,WD ,Normal,169900,14,241935.02079245122,2046.0,2.0
90,RL,72.0,12760,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,Duplex,1Story,6,5,1976,1976,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,1958.0,1958.0,GasA,TA,Y,SBrkr,2048,0,0,2048,0.0,0.0,3,0,5,2,TA,9,Typ,0,None,2Types,1976.0,Unf,2.0,776.0,TA,TA,Y,0,0,0,0,0,0,NoPool,NoFence,None,0,3,2010,ConLD,Normal,170000,14,242077.41927437735,4006.0,3.0
20,RL,80.0,57200,Pave,NoAlley,IR1,Bnk,AllPub,Inside,Sev,Timber,Norm,Norm,1Fam,1Story,5,5,1948,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Av,BLQ,353.0,Rec,334.0,60.0,747.0,GasA,TA,Y,SBrkr,1687,0,0,1687,1.0,0.0,1,0,3,1,TA,7,Min1,2,TA,Detchd,1966.0,Unf,2.0,572.0,TA,TA,N,0,0,50,0,0,0,NoPool,NoFence,None,0,6,2010,WD ,Normal,160000,14,227837.57108176692,2434.0,2.0
20,RL,88.0,11896,Pave,NoAlley,IR1,Lvl,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,1Story,7,5,2008,2008,Gable,CompShg,VinylSd,VinylSd,Stone,60.0,Gd,TA,PConc,Gd,TA,No,GLQ,78.0,Unf,0.0,1258.0,1336.0,GasA,Ex,Y,SBrkr,1346,0,0,1346,1.0,0.0,2,0,3,1,Gd,6,Typ,1,TA,Attchd,2008.0,Fin,3.0,660.0,TA,TA,Y,100,48,0,0,0,0,NoPool,NoFence,None,0,5,2010,WD ,Normal,220000,14,313276.6602374295,2682.0,3.0
60,RL,73.0,9802,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,5,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,384.0,384.0,GasA,Gd,Y,SBrkr,744,700,0,1444,0.0,0.0,2,1,3,1,TA,7,Typ,0,None,BuiltIn,2007.0,Fin,2.0,400.0,TA,TA,Y,100,0,0,0,0,0,NoPool,NoFence,None,0,4,2010,WD ,Normal,174000,14,247773.3585514215,1828.0,2.5
60,RL,80.0,11316,Pave,NoAlley,Reg,Lvl,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,2Story,7,5,2002,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,44.0,Gd,TA,PConc,Gd,TA,No,GLQ,624.0,Unf,0.0,193.0,817.0,GasA,Ex,Y,SBrkr,824,1070,0,1894,1.0,0.0,2,1,4,1,Gd,8,Typ,1,Gd,BuiltIn,2002.0,Fin,2.0,510.0,TA,TA,Y,0,40,0,0,0,0,NoPool,NoFence,None,0,2,2010,WD ,Normal,214900,14,306014.33765919815,2711.0,3.5
60,RL,85.0,14191,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,8,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,967.0,967.0,GasA,Ex,Y,SBrkr,993,915,0,1908,0.0,0.0,2,1,4,1,Gd,9,Typ,0,None,Attchd,2002.0,Fin,2.0,431.0,TA,TA,Y,135,0,0,0,0,0,NoPool,NoFence,None,0,4,2010,WD ,Normal,202900,14,288926.51982806565,2875.0,2.5
20,RL,89.0,13214,Pave,NoAlley,IR1,HLS,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,9,5,2008,2009,Hip,CompShg,Stucco,CmentBd,None,0.0,Ex,TA,PConc,Ex,TA,Gd,Unf,0.0,Unf,0.0,2002.0,2002.0,GasA,Ex,Y,SBrkr,2018,0,0,2018,0.0,0.0,2,0,3,1,Ex,10,Typ,1,Gd,Attchd,2009.0,Fin,3.0,746.0,TA,TA,Y,144,76,0,0,0,0,NoPool,NoFence,None,0,5,2010,WD ,Normal,378500,14,538978.2540903048,4020.0,2.0
20,RL,85.0,15300,Pave,NoAlley,Reg,Bnk,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,5,1965,1977,Hip,CompShg,Plywood,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,42.0,Unf,0.0,1026.0,1068.0,GasA,TA,Y,SBrkr,1264,0,0,1264,1.0,0.0,1,0,2,1,TA,7,Typ,1,TA,Attchd,1965.0,Unf,2.0,528.0,TA,TA,Y,0,0,0,0,0,0,NoPool,NoFence,None,0,6,2010,WD ,Normal,169000,14,240653.43445511628,2332.0,2.0
20,RL,93.0,10114,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,1430.0,1430.0,GasA,Ex,Y,SBrkr,1430,0,0,1430,0.0,0.0,2,0,3,1,Gd,7,Typ,0,None,Attchd,2004.0,RFn,2.0,624.0,TA,TA,Y,0,0,0,0,0,0,NoPool,NoFence,None,0,3,2010,WD ,Normal,173500,14,247061.366141791,2860.0,2.0
90,RL,94.0,9400,Pave,NoAlley,Reg,Low,AllPub,Corner,Gtl,Mitchel,Norm,Norm,Duplex,2Story,6,5,1971,1971,Mansard,CompShg,MetalSd,Wd Shng,None,0.0,TA,TA,CBlock,TA,TA,Av,Unf,0.0,Unf,0.0,912.0,912.0,GasA,TA,Y,SBrkr,912,912,0,1824,0.0,0.0,2,2,4,2,TA,8,Typ,0,None,None,0.0,None,0.0,0.0,None,None,Y,128,0,0,0,0,0,NoPool,NoFence,None,0,4,2010,WD ,Normal,139000,14,197933.889877285,2736.0,3.0
20,RL,72.0,11875,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1344.0,1344.0,GasA,Ex,Y,SBrkr,1344,0,0,1344,0.0,0.0,2,0,3,1,TA,7,Typ,1,Gd,Attchd,2001.0,Unf,2.0,686.0,TA,TA,Y,328,0,0,0,0,0,NoPool,NoFence,None,0,6,2010,WD ,Normal,166500,14,237093.47240696367,2688.0,2.0
160,RM,21.0,1974,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2Story,4,5,1973,1973,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,334.0,Unf,0.0,212.0,546.0,GasA,TA,Y,SBrkr,546,546,0,1092,0.0,0.0,1,1,3,1,TA,6,Typ,0,None,Attchd,1973.0,RFn,1.0,286.0,TA,TA,Y,120,96,0,0,0,0,NoPool,NoFence,None,0,5,2010,WD ,Normal,83500,14,118902.7324082971,1638.0,1.5
120,RM,31.0,2394,Pave,NoAlley,Reg,Low,AllPub,Inside,Mod,MeadowV,Norm,Norm,Twnhs,1Story,5,6,1973,1973,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,CBlock,Gd,TA,Gd,GLQ,915.0,Unf,0.0,30.0,945.0,GasA,Ex,Y,SBrkr,945,0,0,945,1.0,1.0,1,0,2,1,TA,5,Typ,1,Po,Attchd,1973.0,RFn,1.0,253.0,TA,TA,Y,174,0,56,0,108,0,NoPool,NoFence,None,0,5,2010,WD ,Normal,119500,14,170166.18590169467,1890.0,2.5
160,RM,36.0,2592,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2Story,5,3,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,CBlock,Gd,TA,No,Rec,129.0,BLQ,232.0,175.0,536.0,GasA,TA,Y,SBrkr,536,576,0,1112,0.0,0.0,1,1,3,1,TA,4,Typ,0,None,Attchd,1976.0,Unf,1.0,336.0,TA,TA,Y,182,0,0,0,0,0,NoPool,NoFence,None,0,4,2010,WD ,Normal,85000,14,121038.70963718867,1648.0,1.5
160,RM,21.0,1476,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,2Story,4,7,1970,1970,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,CBlock,TA,TA,No,GLQ,176.0,Unf,0.0,370.0,546.0,GasA,Ex,Y,SBrkr,546,546,0,1092,0.0,0.0,1,1,3,1,TA,5,Typ,0,None,None,0.0,None,0.0,0.0,None,None,Y,200,26,0,0,0,0,NoPool,NoFence,None,0,3,2010,WD ,Normal,76000,14,108222.84626383928,1638.0,1.5
180,RM,21.0,1491,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,SFoyer,4,6,1972,1972,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,CBlock,Gd,TA,Av,LwQ,150.0,GLQ,480.0,0.0,630.0,GasA,Ex,Y,SBrkr,630,0,0,630,1.0,0.0,1,0,1,1,TA,3,Typ,0,None,None,0.0,None,0.0,0.0,None,None,Y,96,24,0,0,0,0,NoPool,NoFence,None,0,5,2010,WD ,Normal,75500,14,107510.85385420876,1260.0,2.0
160,RM,21.0,1900,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2Story,4,4,1970,1970,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,546.0,546.0,GasA,Ex,Y,SBrkr,546,546,0,1092,0.0,0.0,1,1,3,1,TA,5,Typ,0,None,None,0.0,None,0.0,0.0,None,None,Y,0,0,0,0,0,0,NoPool,NoFence,None,0,6,2010,WD ,Normal,88250,14,125666.66029978705,1638.0,1.5
160,RM,21.0,1890,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2Story,4,6,1972,1972,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,294.0,Unf,0.0,252.0,546.0,GasA,TA,Y,SBrkr,546,546,0,1092,0.0,0.0,1,1,3,1,TA,5,Typ,0,None,Attchd,1972.0,Unf,1.0,286.0,TA,TA,Y,0,0,64,0,0,0,NoPool,NoFence,None,0,6,2010,WD ,Normal,85500,14,121750.70204681919,1638.0,1.5
20,RL,50.0,6953,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,7,1971,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,ALQ,469.0,Unf,0.0,395.0,864.0,GasA,Ex,Y,SBrkr,874,0,0,874,0.0,0.0,1,0,3,1,TA,5,Typ,0,None,Detchd,1971.0,Unf,1.0,352.0,TA,TA,Y,0,0,0,0,0,0,NoPool,NoFence,None,0,6,2010,ConLD,Normal,130000,14,185118.0265039356,1738.0,1.0
20,RL,72.0,26142,Pave,NoAlley,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,7,1962,1962,Gable,CompShg,HdBoard,HdBoard,BrkFace,189.0,TA,TA,CBlock,TA,TA,No,Rec,593.0,Unf,0.0,595.0,1188.0,GasA,TA,Y,SBrkr,1188,0,0,1188,0.0,0.0,1,0,3,1,TA,6,Typ,0,None,Attchd,1962.0,Unf,1.0,312.0,TA,TA,P,261,39,0,0,0,0,NoPool,NoFence,None,0,4,2010,WD ,Normal,157900,14,224847.20296131872,2376.0,1.0
20,RL,76.0,12887,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,7,1984,1984,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Gd,TA,Mn,Rec,207.0,GLQ,590.0,36.0,833.0,GasA,TA,Y,SBrkr,833,0,0,833,1.0,0.0,1,0,2,1,Gd,5,Typ,0,None,Attchd,1984.0,Unf,2.0,495.0,TA,TA,Y,431,0,0,0,0,0,NoPool,MnPrv,None,0,4,2010,WD ,Normal,149900,14,213455.32440723036,1666.0,2.0
90,RL,70.0,7700,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,Duplex,2Story,5,2,1985,1986,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,Po,PConc,TA,TA,No,Unf,0.0,Unf,0.0,1216.0,1216.0,GasA,Gd,Y,SBrkr,1216,1216,0,2432,0.0,0.0,4,2,4,2,TA,10,Typ,0,None,Attchd,1985.0,Unf,2.0,616.0,TA,Fa,Y,200,0,0,0,0,0,NoPool,NoFence,Shed,600,2,2010,WD ,Normal,159000,14,226413.58626250585,3648.0,5.0
60,RL,63.0,10475,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,2Story,5,5,1991,1991,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,No,Rec,458.0,Unf,0.0,166.0,624.0,GasA,Gd,Y,SBrkr,624,650,0,1274,0.0,0.0,1,1,3,1,TA,6,Typ,0,None,Detchd,1993.0,Unf,2.0,576.0,TA,TA,Y,22,0,0,0,0,0,NoPool,GdWo,None,0,3,2010,WD ,Normal,136000,14,193661.93541950185,1898.0,1.5
50,RL,68.0,10544,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Mod,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1969,1969,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,Av,BLQ,476.0,Unf,0.0,388.0,864.0,GasA,TA,Y,SBrkr,864,615,0,1479,0.0,0.0,2,0,5,1,TA,8,Typ,0,None,Attchd,1969.0,Fin,1.0,275.0,TA,TA,Y,287,0,280,0,0,0,NoPool,NoFence,None,0,4,2010,WD ,Normal,161000,14,229261.55590102795,2343.0,2.0
20,RL,76.0,9892,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Mod,Mitchel,Norm,Norm,1Fam,1Story,8,5,1994,1995,Hip,CompShg,VinylSd,VinylSd,None,0.0,Gd,Gd,PConc,Gd,Gd,Gd,GLQ,1341.0,LwQ,284.0,54.0,1679.0,GasA,Ex,Y,SBrkr,1803,0,0,1803,1.0,1.0,2,1,3,1,Gd,6,Typ,2,TA,Attchd,1994.0,Unf,2.0,482.0,TA,TA,Y,129,64,222,0,0,0,NoPool,GdWo,None,0,2,2010,WD ,Normal,285000,14,405835.6734893973,3482.0,4.0
60,RL,74.0,12961,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,2Story,6,5,1993,1994,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,Gd,PConc,Gd,TA,Mn,GLQ,944.0,Unf,0.0,208.0,1152.0,GasA,Ex,Y,SBrkr,1152,645,0,1797,1.0,0.0,2,1,3,1,Gd,7,Typ,1,Fa,Attchd,1993.0,Fin,2.0,616.0,TA,TA,Y,162,312,0,0,0,0,NoPool,NoFence,None,0,3,2010,WD ,Normal,231000,14,328940.493249301,2949.0,3.5
20,RL,74.0,13008,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1956,1956,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,Fa,Fa,No,Rec,564.0,Unf,0.0,318.0,882.0,GasA,TA,Y,SBrkr,882,0,0,882,0.0,0.0,1,0,2,1,TA,5,Typ,0,None,Attchd,1956.0,Unf,1.0,502.0,TA,TA,Y,0,0,0,0,0,0,NoPool,NoFence,None,0,10,2009,WD ,Normal,124500,15,181819.04796024153,1764.0,1.0
20,RL,85.0,10200,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1974,1974,Hip,CompShg,Plywood,Plywood,BrkFace,440.0,TA,TA,CBlock,TA,TA,No,LwQ,844.0,Unf,0.0,590.0,1434.0,GasA,TA,Y,SBrkr,1434,0,0,1434,1.0,0.0,2,0,4,1,TA,7,Typ,1,Gd,Attchd,1974.0,RFn,2.0,528.0,TA,TA,Y,80,21,0,0,0,0,NoPool,NoFence,None,0,6,2009,WD ,Normal,157000,15,229281.85164464195,2868.0,3.0
80,RL,75.0,13860,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,SLvl,8,7,1972,1995,Gable,CompShg,Plywood,Wd Sdng,None,0.0,Gd,TA,CBlock,Gd,TA,Gd,GLQ,1410.0,Unf,0.0,542.0,1952.0,GasA,Gd,Y,SBrkr,2000,704,0,2704,1.0,0.0,2,1,4,1,Ex,9,Typ,3,TA,Attchd,1972.0,Fin,2.0,538.0,TA,TA,Y,269,111,0,0,0,0,NoPool,MnPrv,None,0,7,2009,WD ,Normal,345000,15,503835.91603440425,4656.0,3.5
60,RL,88.0,10179,Pave,NoAlley,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1997,1997,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,ALQ,847.0,Unf,0.0,98.0,945.0,GasA,Ex,Y,SBrkr,945,663,0,1608,0.0,0.0,2,1,3,1,TA,7,Typ,1,TA,Attchd,1997.0,Fin,2.0,470.0,TA,TA,Y,252,30,0,0,0,0,NoPool,NoFence,None,0,7,2009,WD ,Normal,189500,15,276744.65532904235,2553.0,2.5
60,RL,63.0,11792,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,8,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,188.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,850.0,Unf,0.0,158.0,1008.0,GasA,Ex,Y,SBrkr,1008,1275,0,2283,0.0,0.0,2,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,2003.0,Fin,3.0,632.0,TA,TA,Y,120,46,0,0,0,0,NoPool,NoFence,None,0,8,2009,WD ,Normal,270000,15,394306.36907040334,3291.0,2.5
80,RL,60.0,8400,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,7,5,1996,1997,Gable,CompShg,HdBoard,HdBoard,BrkFace,32.0,TA,TA,PConc,Gd,TA,No,GLQ,284.0,Unf,0.0,100.0,384.0,GasA,Gd,Y,SBrkr,958,670,0,1628,0.0,0.0,2,1,3,1,TA,7,Typ,1,TA,BuiltIn,1996.0,Fin,2.0,390.0,TA,TA,Y,48,72,0,0,0,0,NoPool,NoFence,Shed,490,6,2009,WD ,Normal,189000,15,276014.45834928233,2012.0,2.5
20,RL,42.0,14892,Pave,NoAlley,IR1,HLS,AllPub,CulDSac,Gtl,Gilbert,Norm,Norm,1Fam,1Story,9,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,160.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,1320.0,Unf,0.0,426.0,1746.0,GasA,Ex,Y,SBrkr,1746,0,0,1746,1.0,0.0,2,0,3,1,Ex,7,Typ,2,Gd,Attchd,2006.0,Fin,3.0,758.0,TA,TA,Y,201,39,0,0,0,0,NoPool,NoFence,None,0,10,2009,WD ,Normal,377500,15,551298.7197188047,3492.0,3.0
80,RL,63.0,8530,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,7,5,1995,1996,Gable,CompShg,HdBoard,HdBoard,BrkFace,22.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,384.0,384.0,GasA,Gd,Y,SBrkr,804,670,0,1474,0.0,0.0,2,1,3,1,TA,7,Typ,1,TA,BuiltIn,1995.0,Fin,2.0,400.0,TA,TA,Y,120,72,0,0,0,0,NoPool,NoFence,Shed,700,5,2009,WD ,Normal,168500,15,246076.3821791221,1858.0,2.5
120,RL,28.0,7296,Pave,NoAlley,IR1,Lvl,AllPub,CulDSac,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2004,2005,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1965.0,Unf,0.0,243.0,2208.0,GasA,Ex,Y,SBrkr,2522,0,0,2522,1.0,0.0,2,0,1,1,Gd,8,Typ,1,Gd,Attchd,2004.0,Fin,2.0,564.0,TA,TA,Y,182,57,0,0,0,0,NoPool,NoFence,None,0,11,2009,WD ,Normal,375000,15,547647.7348200047,4730.0,3.0
120,RL,40.0,5664,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2000,2000,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,1158.0,Unf,0.0,343.0,1501.0,GasA,Ex,Y,SBrkr,1659,0,0,1659,1.0,0.0,2,0,2,1,Ex,5,Typ,1,Ex,Attchd,2000.0,Fin,2.0,499.0,TA,TA,Y,212,59,0,0,0,0,NoPool,NoFence,None,0,10,2009,WD ,Normal,278000,15,405989.52074656344,3160.0,3.0
120,RL,61.0,7380,Pave,NoAlley,IR1,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,1Fam,1Story,8,5,1998,1998,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,PConc,Gd,TA,Av,GLQ,341.0,Unf,0.0,1077.0,1418.0,GasA,Ex,Y,SBrkr,1478,0,0,1478,1.0,0.0,2,0,2,1,TA,5,Typ,0,None,Attchd,1998.0,Fin,2.0,495.0,TA,TA,Y,168,43,0,0,0,0,NoPool,NoFence,None,0,7,2009,WD ,Normal,240000,15,350494.550284803,2896.0,3.0
